id,created_at,favorite_count,retweet_count,has alt_text?,alt_text,text
1591095858975870976,2022-11-11 15:49:48+00:00,11,0,no,,"To all our veterans on this #VeteransDay: Thank You for your service to protect our freedom and Thank You to your families for their support. We are grateful each and every day.
#ThankAVeteran https://t.co/oUw3ANaNol"
1590481943665455104,2022-11-09 23:10:19+00:00,0,4,no,None,"RT @WesternDental: On Nov. 15, we'll be hosting a webinar focused on the importance of #PediatricOralHealth equity with @AsmArambula, @HKid…"
1589656186353516546,2022-11-07 16:29:03+00:00,0,59,no,None,"RT @CASOSVote: Don't delay, vote today! What does that mean? You now have every option - mail your ballot back, bring it to a drop box, or…"
